"﻿I01";"NOMPROV";"I02";"NOMCANT";"I03";"I03Cl";"I03C";"codParr";"NOMPARR";"I04";"I05";"numv";"numh";"nump";"TOTPER";"H00";"P00";"PCD";"P01";"P03";"GEDAD";"GRANEDAD";"P04M";"P04A";"P05";"P06_A";"P07";"P08";"Discapacidad";"P11LO";"P11L";"P11P";"P11C";"P11PQ";"P12LO";"P12L";"P12P";"P12C";"P12PQ";"P13LO";"P13L";"P13P";"P13C";"P13PQ";"P142P";"P142M";"P152";"P16";"P19";"P20T";"P20I";"P20C";"P21";"P23";"P24";"GRAESC";"GRAESCSA";"P25";"P27";"P28";"TIPOACT";"P29";"RAMACT";"P30";"GRUOCU";"P31";"CATOCUP";"P32";"P33";"P34";"P35";"P36";"P36H";"P36M";"P37";"P38";"P39A";"P39M";"P40";"P02"
10;"IMBABURA";2;"ANTONIO ANTE";50;"A";1;109;"ATUNTAQUI";1;1;17;1;1;6;1;1;1;1;49;11;2;1;1961;1;1;2;2;2;1;1;10;1002;100250;1;1;10;1002;100250;1;1;10;1002;100250;2;2;2;6;1;1;2;2;2;8;3;16;15;3;1;;1;3312;3;7231;7;4;4;48;2;1;7;;;;;;;;;"1"
10;"IMBABURA";2;"ANTONIO ANTE";50;"A";1;109;"ATUNTAQUI";1;1;17;1;2;6;1;2;1;2;52;12;2;2;1958;1;1;2;2;2;2;2;10;1006;100652;1;1;10;1002;100250;1;1;10;1002;100250;2;2;2;6;1;2;2;2;2;7;3;13;12;;7;5;11;;;;;;;;;1;7;7;1;6;7;20;1992;12;1;"2"
10;"IMBABURA";2;"ANTONIO ANTE";50;"A";1;109;"ATUNTAQUI";1;1;20;1;1;3;1;1;1;1;32;8;2;6;1978;1;1;2;2;2;1;1;10;1002;100250;1;1;10;1002;100250;1;1;10;1002;100250;2;2;2;6;1;1;2;2;2;4;6;7;6;;1;;1;3510;4;8189;8;2;2;60;2;1;7;;;;;;;;;"1"
10;"IMBABURA";2;"ANTONIO ANTE";50;"A";1;109;"ATUNTAQUI";1;1;20;1;2;3;1;2;1;2;29;7;2;3;1981;1;1;2;2;2;2;2;4;402;40252;1;1;10;1002;100250;1;1;10;1002;100250;2;2;2;6;1;1;2;2;2;8;3;16;15;3;1;;1;1410;3;8152;8;2;2;60;2;1;7;1;0;1;1;22;2003;2;1;"2"
10;"IMBABURA";2;"ANTONIO ANTE";50;"A";1;109;"ATUNTAQUI";1;1;22;1;1;4;1;1;1;1;55;13;2;6;1955;1;1;2;1;1;1;1;10;1002;100250;1;1;10;1002;100250;1;1;10;1002;100250;2;2;2;6;1;2;2;2;2;4;6;7;6;;7;6;12;;;;;;;;;1;7;;;;;;;;;"1"
10;"IMBABURA";2;"ANTONIO ANTE";50;"A";1;109;"ATUNTAQUI";1;1;22;1;2;4;1;2;1;2;53;12;2;12;1956;1;1;2;2;2;1;1;10;1002;100250;1;1;10;1002;100250;1;1;10;1002;100250;2;2;2;6;1;2;2;2;2;4;6;7;6;;1;;1;9700;20;9111;9;8;8;5;2;1;7;4;3;1;4;21;1997;2;1;"2"
10;"IMBABURA";2;"ANTONIO ANTE";50;"A";1;109;"ATUNTAQUI";1;1;25;1;1;7;1;1;1;1;49;11;2;7;1961;1;1;2;9;2;1;1;10;1002;100250;1;1;10;1002;100250;1;1;10;1002;100250;2;2;2;6;1;2;2;2;2;4;2;3;2;;1;;1;111;1;9211;9;3;3;56;2;1;7;;;;;;;;;"1"
10;"IMBABURA";2;"ANTONIO ANTE";50;"A";1;109;"ATUNTAQUI";1;1;25;1;2;7;1;2;1;2;44;10;2;2;1966;1;1;2;2;2;1;1;10;1002;100250;1;1;10;1002;100250;1;1;10;1002;100250;2;2;2;6;1;2;2;2;2;4;4;5;4;;7;5;11;;;;;;;;;1;7;5;1;4;5;15;2001;9;1;"2"
10;"IMBABURA";2;"ANTONIO ANTE";50;"A";1;109;"ATUNTAQUI";1;1;25;1;3;7;1;3;1;2;28;7;2;9;1982;1;1;1;2;2;1;1;10;1002;100250;1;1;10;1002;100250;1;1;10;1002;100250;2;2;2;6;1;1;2;2;2;4;6;7;6;;1;;1;1410;3;7533;7;2;2;48;2;1;3;0;0;0;;;;;;"3"
10;"IMBABURA";2;"ANTONIO ANTE";50;"A";1;109;"ATUNTAQUI";1;1;26;1;1;5;1;1;1;1;42;10;2;2;1968;1;1;2;2;2;1;1;10;1002;100250;1;1;10;1002;100250;1;1;10;1002;100250;2;2;2;6;1;1;2;2;2;4;6;7;6;;1;;1;4921;8;8331;8;2;2;40;2;1;7;;;;;;;;;"1"
